Individual,Time (h),Species (mg / L)
1,0,1
1,0.1206030150753769,0.886376808750983
1,0.2412060301507538,0.7856592834911935
1,0.36180904522613067,0.6964034717832462
1,0.4824120603015076,0.6172960683227932
1,0.6030150753768845,0.547178234848875
1,0.7236180904522613,0.48502296570936326
1,0.8442211055276382,0.4299267639922169
1,0.9648241206030151,0.3810905434077716
1,1.085427135678392,0.33780093732256905
1,1.206030150753769,0.2994287220079033
1,1.3266331658291457,0.2654160013763663
1,1.4472361809045227,0.23526611163116187
1,1.5678391959798996,0.2085415131476221
1,1.6884422110552764,0.18485278260355223
1,1.809045226130653,0.16385635566871967
1,1.9296482412060303,0.14524489632154777
1,2.050251256281407,0.12874553158351698
1,2.170854271356784,0.114118283871093
1,2.291457286432161,0.10115159422853236
1,2.412060301507538,0.0896579447992824
1,2.532663316582915,0.07947049133322166
1,2.6532663316582914,0.07044082263799949
1,2.7738693467336684,0.06243721730163519
1,2.8944723618090453,0.05534294650946006
1,3.015075376884422,0.049053849756586596
1,3.1356783919597992,0.04347671495811469
1,3.256281407035176,0.03853381200129604
1,3.3768844221105527,0.03414478463112917
1,3.4974874371859292,0.03025418710380047
1,3.618090452261306,0.026811375956256392
1,3.7386934673366836,0.023762378150181413
1,3.8592964824120606,0.02106433226940889
1,3.9798994974874367,0.01867371229463032
1,4.100502512562814,0.016555403742874526
1,4.2211055276381915,0.014675803885115713
1,4.341708542713568,0.013008133409754992
1,4.4623115577889445,0.011529267828489937
1,4.582914572864322,0.010217909648557344
1,4.703517587939698,0.009056456367074944
1,4.824120603015076,0.008027494072067985
1,4.944723618090452,0.007116189190687487
1,5.06532663316583,0.0063083437562617825
1,5.185929648241206,0.005592326367455622
1,5.306532663316583,0.004957141237180303
1,5.42713567839196,0.0043935677528053165
1,5.547738693467337,0.003893695775854687
1,5.668341708542714,0.0034500832125336145
1,5.788944723618091,0.003052660156333918
1,5.909547738693467,0.002698231018206829
1,6.030150753768844,0.0023832805545712394
1,6.150753768844221,0.002105765914412979
1,6.2713567839195985,0.0018631164889919365
1,6.391959798994974,0.0016470807599156922
1,6.512562814070352,0.0014574243968065524
1,6.633165829145728,0.0012909800669417286
1,6.7537688442211055,0.0011439304280562493
1,6.874371859296483,0.0010140299329283633
1,6.9949748743718585,0.0008991687894191045
1,7.115577889447237,0.0007975107334157134
1,7.236180904522612,0.0007071703590693232
1,7.35678391959799,0.000626877717942637
1,7.477386934673367,0.0005555334245253067
1,7.597989949748743,0.0004922984430988652
1,7.718592964824121,0.0004352239720670229
1,7.839195979899498,0.00038418372979723167
1,7.959798994974873,0.0003388612112505745
1,8.080402010050252,0.0002992183700556253
1,8.201005025125628,0.0002636171913308568
1,8.321608040201005,0.00023111688945853567
1,8.442211055276383,0.0002024235103682694
1,8.562814070351758,0.00017762071454149774
1,8.683417085427136,0.00015645938137309206
1,8.804020100502512,0.00013671411654883972
1,8.924623115577889,0.0001194350415582315
1,9.045226130653267,0.00010454516264712555
1,9.165829145728644,9.203708014720879E-05
1,9.28643216080402,8.086667958933832E-05
1,9.407035175879397,7.101816321165519E-05
1,9.527638190954773,6.249244549551107E-05
1,9.648241206030152,5.5148189039876405E-05
1,9.768844221105526,4.879003057846727E-05
1,9.889447236180905,4.318102319785109E-05
1,10.010050251256281,3.8264361775653676E-05
1,10.13065326633166,3.3930053260964875E-05
1,10.251256281407034,3.008463602802303E-05
1,10.371859296482413,2.667586133317129E-05
1,10.492462311557789,2.3636755062864086E-05
1,10.613065326633166,2.0928317873432915E-05
1,10.733668341708542,1.852843691567385E-05
1,10.85427135678392,1.6185952624890113E-05
1,10.974874371859295,1.381779007228469E-05
1,11.095477386934673,1.1517558018588807E-05
1,11.216080402010052,9.294036612580537E-06
1,11.336683417085428,7.175302282708576E-06
1,11.457286432160803,5.208727737092182E-06
1,11.577889447236181,3.4609819635212513E-06
1,11.698492462311558,2.0180302294564125E-06
1,11.819095477386934,9.85134082028812E-07
1,11.93969849246231,4.868513480403174E-07
1,12.060301507537687,-1.1365701990719254E-06
1,12.180904522613066,-3.1009047515783492E-06
1,12.301507537688442,-5.015874084875917E-06
1,12.422110552763819,-6.820263712325278E-06
1,12.542713567839197,-8.440621560841288E-06
1,12.663316582914572,-9.7912579708928E-06
1,12.783919597989948,-1.0774245696502864E-05
1,12.904522613065327,-1.1279419905248628E-05
1,13.025125628140705,-1.1184378178261317E-05
1,13.145728643216081,-1.0354480510226297E-05
1,13.266331658291456,-1.1201129116677948E-05
1,13.386934673366834,-1.195383996634399E-05
1,13.507537688442211,-1.2581075299599515E-05
1,13.628140703517587,-1.3055439031880616E-05
1,13.748743718592966,-1.334636664444517E-05
1,13.86934673366834,-1.3420125184372824E-05
1,13.989949748743717,-1.3239813264564994E-05
1,14.110552763819095,-1.2765361063744872E-05
1,14.231155778894474,-1.1953530326457425E-05
1,14.35175879396985,-1.0931549172598993E-05
1,14.472361809045225,-1.0493424948394479E-05
1,14.592964824120603,-9.991004740852111E-06
1,14.71356783919598,-9.433356257002524E-06
1,14.834170854271356,-8.830339677061721E-06
1,14.954773869346734,-8.192607654431066E-06
1,15.075376884422113,-7.531605315697329E-06
1,15.195979899497486,-6.859570260632676E-06
1,15.316582914572864,-6.189532562194577E-06
1,15.437185929648242,-5.535314766525963E-06
1,15.55778894472362,-4.8790057002559184E-06
1,15.678391959798995,-4.187715716824649E-06
1,15.798994974874372,-3.519580830148416E-06
1,15.919597989949747,-2.8856979406169334E-06
1,16.040201005025125,-2.2976010103470682E-06
1,16.160804020100503,-1.767261063182881E-06
1,16.28140703517588,-1.30708618469559E-06
1,16.402010050251256,-9.299215221835928E-07
1,16.522613065326635,-6.490492846724193E-07
1,16.64321608040201,-4.781887429148081E-07
1,16.763819095477388,-2.9112934591398306E-07
1,16.884422110552766,-5.012622122208282E-08
1,17.00502512562814,1.4790930168291164E-07
1,17.125628140703515,3.0404956789320354E-07
1,17.246231155778894,4.1991610272724185E-07
1,17.366834170854272,4.976796117297181E-07
1,17.48743718592965,5.400599806715744E-07
1,17.608040201005025,5.503262755500005E-07
1,17.728643216080403,5.322967425884342E-07
1,17.849246231155778,4.903388082365592E-07
1,17.969849246231156,4.212448110605637E-07
1,18.090452261306535,3.3195636975452453E-07
1,18.21105527638191,2.30363825232388E-07
1,18.331658291457288,1.223298718108486E-07
1,18.452261306532666,1.4225008335604574E-08
1,18.57286432160804,-8.707246181865066E-08
1,18.693467336683415,-1.7417643074823694E-07
1,18.814070351758794,-2.3919298602046786E-07
1,18.93467336683417,-2.7372041067366404E-07
1,19.055276381909547,-2.688491832171535E-07
1,19.175879396984925,-5.112190563399931E-07
1,19.296482412060303,-8.116197924801474E-07
1,19.417085427135675,-1.1415728874908696E-06
1,19.537688442211053,-1.4973206727406224E-06
1,19.65829145728643,-1.8744222177232518E-06
1,19.77889447236181,-2.2677533300580692E-06
1,19.899497487437188,-2.6715065554898276E-06
1,20.020100502512562,-3.079191177888698E-06
1,20.14070351758794,-3.4836332192503443E-06
1,20.26130653266332,-3.876975439695818E-06
1,20.381909547738694,-4.250677337471637E-06
1,20.50251256281407,-4.595515148949739E-06
1,20.623115577889447,-4.90158184862754E-06
1,20.743718592964825,-5.1582871491278606E-06
1,20.8643216080402,-5.354357501198969E-06
1,20.984924623115578,-5.4778360937145916E-06
1,21.105527638190953,-5.516082853673875E-06
1,21.22613065326633,-5.455774446201415E-06
1,21.346733668341706,-5.282904274547255E-06
1,21.467336683417084,-4.982782480086857E-06
1,21.587939698492463,-4.540035942321144E-06
1,21.70854271356784,-4.7573622349779965E-06
1,21.82914572864322,-5.079827438052806E-06
1,21.94974874371859,-5.3961800849893974E-06
1,22.07035175879397,-5.7027077007271626E-06
1,22.190954773869347,-5.995431455820871E-06
1,22.311557788944725,-6.270106166440725E-06
1,22.432160804020103,-6.522220294372313E-06
1,22.55276381909548,-6.746995947016642E-06
1,22.673366834170857,-6.9393888773901385E-06
1,22.793969849246235,-7.094088484124622E-06
1,22.914572864321606,-7.205517811467317E-06
1,23.035175879396984,-7.267833549280872E-06
1,23.155778894472363,-7.274926033043328E-06
1,23.276381909547737,-7.2204192438481425E-06
1,23.396984924623116,-7.097670808404177E-06
1,23.517587939698494,-6.899771999035698E-06
1,23.63819095477387,-6.619547733682386E-06
1,23.758793969849243,-6.249556575899343E-06
1,23.87939698492462,-5.782090734857036E-06
1,24,-5.209176065341378E-06
